old_path,new_path,action,wrapper_created,hash_before,hash_after,reason
docs/PROJECT_AUDIT.md,docs/internal/auditoria_repositorio.md,MOVE,false,d2682d593569044a23540c76eca0c69541b29f31ceba4c5beaaae4c3df687324,d2682d593569044a23540c76eca0c69541b29f31ceba4c5beaaae4c3df687324,Archive internal documentation under a natural Spanish name
docs/PRESERVATION_REPORT.md,docs/internal/informe_preservacion.md,MOVE,false,274362ed99d4cfd9021e05f15fbde8a14e734d97286f23339790e2bba8657497,274362ed99d4cfd9021e05f15fbde8a14e734d97286f23339790e2bba8657497,Archive internal documentation under a natural Spanish name; update its internal safety-document link
docs/PUBLICATION_SAFETY.md,docs/internal/seguridad_publicacion.md,MOVE,false,0fd8d9cf2b58b18ee00e5235354ccf44077de58c7fd2e1fe6728c5223f6ae299,0fd8d9cf2b58b18ee00e5235354ccf44077de58c7fd2e1fe6728c5223f6ae299,Archive internal documentation under a natural Spanish name
docs/plan_repositorio.md,docs/internal/plan_repositorio.md,MOVE,false,79bcb880ecabea274549a12b439d5708cd86f6f14aab20370b20872c39f3c604,79bcb880ecabea274549a12b439d5708cd86f6f14aab20370b20872c39f3c604,Archive internal documentation under a natural Spanish name
,src/project_paths.py,CREATE,false,,da6fdedf615fd3560152442719ad3568cbb980bb3e086456268a170daa0290fb,Central project paths independent of current working directory
,src/features/__init__.py,CREATE,false,,a1423ffaa2b6df3e10652f6eaa29b51df8d07d495d73d97cd4d822efe69d85e8,Feature package marker
,src/features/thresholds.py,CREATE,false,,b9a7dfc5ace2a2debb467442303156614cde4459fd65ef49833a3cfe2f4aee17,Shared EXP-012 threshold features
,src/features/relational.py,CREATE,false,,cda407fac9908e547a848f9c1feb4b4c4badc0a51ad6a10c389e1812a4b4ed0f,Shared validated relational features
,src/features/frequency.py,CREATE,false,,3d9c49e5767434bdedd126feaac47b6b4337526284da44e01996638fb4de177a,Fold-safe EXP-039 frequency encoding
,src/diagnostics/__init__.py,CREATE,false,,d2220cb037e696e0feeec84e84f14b780b478715485530b33e2d4c07778ba129,Diagnostics package marker
,tests/conftest.py,CREATE,false,,73326fa41619672a867dec05768e24a0a421bfa139ec48cb711d33202d0932f5,Stable test import paths
,tests/test_project_paths.py,CREATE,false,,71ae4caf2c20fc9d49a8d9a94a80be73131d21d88e8788945de13fe8c773aa9b,Project path tests
,tests/test_data_alignment.py,CREATE,false,,f7ee59092872a43dc802214d640a6840b7f6db440d5eb96ab61e079fdc489fd6,Data and submission alignment tests
,tests/test_feature_consistency.py,CREATE,false,,76ee6d5c0ab946151f540831a4237bca2689cf0669ca9bbb4dfdbd2289fea11a,Feature schema and parity tests
,tests/test_diagnostic_imports.py,CREATE,false,,fc8f0afb8fafe04e9271427f27ecafe6a59f977b27b9566c0a8152d22eaa3085,Moved diagnostic import tests
,outputs/reports/refactor_feature_parity.csv,CREATE,false,,5b53230d1af0bd57d243fd4946e91ddc05300f5c50e5e872365c0b9287a83baa,Strict parity results on deterministic samples
