group,feature,type,group_mean,rest_mean,group_median,rest_median,standardized_mean_difference,distance,distance_name,abs_smd
hard_positive_10,sleep_hours,numeric,6.73506292818526,6.849352557522466,6.71,6.85,-0.09249634112852366,0.04932529768997013,KS,0.09249634112852366
hard_positive_10,work_study_hours,numeric,1.8130283582421,2.6528952234658734,1.65,2.58,-0.7220151947433269,0.29361571498536454,KS,0.7220151947433269
hard_positive_10,weekend_screen_time,numeric,7.1730745471316215,10.914125060851463,7.27,11.1,-1.8370713255765279,0.6624043350524165,KS,1.8370713255765279
hard_positive_10,gender,categorical,,,,,,0.02139398946876105,TV,
hard_positive_10,stress_level,categorical,,,,,,0.010096087179324177,TV,
hard_positive_10,academic_work_impact,categorical,,,,,,0.008086768694169744,TV,
hard_negative_10,age,numeric,26.426941709642133,26.600125715801553,26.0,27.0,-0.03326555284339366,0.02703783303410323,KS,0.03326555284339366
hard_negative_10,daily_screen_time_hours,numeric,6.377307595573441,4.908030536874356,6.51,4.87,0.8850997691057044,0.36974165451908747,KS,0.8850997691057044
hard_negative_10,social_media_hours,numeric,2.284625541978715,1.2819002835023443,2.26,1.22,1.3880519617758693,0.536580586923176,KS,1.3880519617758693
hard_negative_10,gaming_hours,numeric,1.2281047570850203,1.1523861484232305,1.1,1.07,0.09804916701760492,0.04550297019239535,KS,0.09804916701760492
hard_negative_10,notifications_per_day,numeric,144.12722344570557,147.40810987573576,150.0,154.0,-0.04931878438069303,0.0395972526079941,KS,0.04931878438069303
hard_negative_10,app_opens_per_day,numeric,102.67562724014337,97.35339367644126,103.0,99.0,0.11118996534797547,0.07275533405030377,KS,0.11118996534797547
hard_negative_10,sleep_hours,numeric,6.804041984936702,6.713291544931385,6.76,6.71,0.07308087201697003,0.0423865212349841,KS,0.07308087201697003
hard_negative_10,work_study_hours,numeric,2.044046214622003,1.8536665492600395,1.88,1.74,0.18399273835086555,0.07583125740239227,KS,0.18399273835086555
hard_negative_10,weekend_screen_time,numeric,8.228577978689055,6.709271866522862,8.46,6.71,0.8422610420413376,0.3704180954637205,KS,0.8422610420413376
hard_negative_10,gender,categorical,,,,,,0.01616756150653001,TV,
hard_negative_10,stress_level,categorical,,,,,,0.006327692249730635,TV,
hard_negative_10,academic_work_impact,categorical,,,,,,0.007501836712807353,TV,
