rule_type,rule,feature_a,operator_a,threshold_a,feature_b,operator_b,threshold_b,rows,coverage,target_rate,positive_rate,negative_rate,precision_positive,precision_negative,positive_lift,negative_lift
pair,social_media_hours > 1.91 AND work_study_hours <= 0.95,social_media_hours,>,1.91,work_study_hours,<=,0.95,11643,0.07529391983651719,0.6433049901228206,0.6433049901228206,0.3566950098771794,0.6433049901228206,0.3566950098771794,1.9776311374058617,0.5286647192867814
pair,social_media_hours > 1.38 AND weekend_screen_time > 7.78,social_media_hours,>,1.38,weekend_screen_time,>,7.78,22007,0.1423166961987661,0.6352524196846457,0.6352524196846457,0.36474758031535426,0.6352524196846457,0.36474758031535426,1.9528761389538083,0.5405995929809791
pair,social_media_hours > 1.91 AND weekend_screen_time <= 7.78,social_media_hours,>,1.91,weekend_screen_time,<=,7.78,22363,0.14461890657940685,0.5981755578410768,0.5981755578410768,0.4018244421589232,0.5981755578410768,0.4018244421589232,1.8388954337129892,0.5955519422311535
pair,social_media_hours > 1.91 AND weekend_screen_time <= 6.58,social_media_hours,>,1.91,weekend_screen_time,<=,6.58,13372,0.08647516070204483,0.5860753813939575,0.5860753813939575,0.41392461860604246,0.5860753813939575,0.41392461860604246,1.8016973922282506,0.6134858527362078
pair,social_media_hours > 1.38 AND weekend_screen_time > 6.58,social_media_hours,>,1.38,weekend_screen_time,>,6.58,40060,0.25906333665299996,0.5669246130803794,0.5669246130803794,0.43307538691962055,0.5669246130803794,0.43307538691962055,1.7428246082398242,0.6418695847040592
pair,social_media_hours > 1.38 AND work_study_hours <= 1.99,social_media_hours,>,1.38,work_study_hours,<=,1.99,57284,0.37044893102422494,0.5583583548634872,0.5583583548634872,0.44164164513651283,0.5583583548634872,0.44164164513651283,1.7164904444436588,0.6545658052010345
pair,social_media_hours > 1.38 AND work_study_hours <= 1.45,social_media_hours,>,1.38,work_study_hours,<=,1.45,38468,0.24876805877103353,0.5564885099303317,0.5564885099303317,0.4435114900696683,0.5564885099303317,0.4435114900696683,1.7107422167465243,0.6573371393081104
pair,social_media_hours > 1.38 AND work_study_hours <= 0.95,social_media_hours,>,1.38,work_study_hours,<=,0.95,19628,0.12693198132364164,0.5497758304463012,0.5497758304463012,0.4502241695536988,0.5497758304463012,0.4502241695536988,1.6901062755260003,0.6672861341547417
pair,social_media_hours > 1.38 AND daily_screen_time_hours <= 4.5,social_media_hours,>,1.38,daily_screen_time_hours,<=,4.5,24990,0.16160740846126984,0.5488995598239296,0.5488995598239296,0.4511004401760704,0.5488995598239296,0.4511004401760704,1.687412467621191,0.6685848721515386
univariate,weekend_screen_time > 8.9,weekend_screen_time,>,8.9,,,,13941,0.090154817181215,0.5447241948210315,0.5447241948210315,0.4552758051789685,0.5447241948210315,0.4552758051789685,1.6745766712780141,0.674773263090725
pair,social_media_hours > 1.38 AND weekend_screen_time > 5.41,social_media_hours,>,1.38,weekend_screen_time,>,5.41,55547,0.3592159550939638,0.544169802149531,0.544169802149531,0.45583019785046897,0.544169802149531,0.45583019785046897,1.672872372032178,0.6755949394190661
pair,weekend_screen_time > 7.78 AND work_study_hours <= 1.45,weekend_screen_time,>,7.78,work_study_hours,<=,1.45,13195,0.08533052239481614,0.5411140583554377,0.5411140583554377,0.4588859416445623,0.5411140583554377,0.4588859416445623,1.6634784855119134,0.6801239176508416
pair,social_media_hours > 0.9 AND weekend_screen_time > 7.78,social_media_hours,>,0.9,weekend_screen_time,>,7.78,29104,0.1882121655004721,0.534428257284222,0.534428257284222,0.46557174271577795,0.534428257284222,0.46557174271577795,1.6429251731951333,0.6900330754709595
pair,social_media_hours > 1.38 AND daily_screen_time_hours <= 5.32,social_media_hours,>,1.38,daily_screen_time_hours,<=,5.32,49673,0.3212294838133916,0.5292412376945221,0.5292412376945221,0.47075876230547786,0.5292412376945221,0.47075876230547786,1.6269793751546637,0.697720859654618
pair,weekend_screen_time > 7.78 AND daily_screen_time_hours > 5.32,weekend_screen_time,>,7.78,daily_screen_time_hours,>,5.32,14671,0.09487564183814685,0.5257991956921818,0.5257991956921818,0.4742008043078182,0.5257991956921818,0.4742008043078182,1.6163979409289049,0.7028223780906824
pair,weekend_screen_time > 7.78 AND work_study_hours <= 1.99,weekend_screen_time,>,7.78,work_study_hours,<=,1.99,22021,0.14240723256204973,0.52499886472004,0.52499886472004,0.47500113527996,0.52499886472004,0.47500113527996,1.6139375846825843,0.7040085644319759
pair,social_media_hours > 1.38 AND daily_screen_time_hours > 3.67,social_media_hours,>,1.38,daily_screen_time_hours,>,3.67,70659,0.4569434923755448,0.5202026634965115,0.5202026634965115,0.47979733650348855,0.5202026634965115,0.47979733650348855,1.599193230097206,0.7111171089960076
pair,social_media_hours > 1.38 AND daily_screen_time_hours > 5.32,social_media_hours,>,1.38,daily_screen_time_hours,>,5.32,27537,0.1780785596957978,0.5190834150415804,0.5190834150415804,0.4809165849584196,0.5190834150415804,0.4809165849584196,1.5957524661843652,0.7127759692375399
pair,social_media_hours > 1.38 AND work_study_hours > 0.95,social_media_hours,>,1.38,work_study_hours,>,0.95,52350,0.338541329849839,0.5169627507163324,0.5169627507163324,0.48303724928366765,0.5169627507163324,0.48303724928366765,1.5892331761648744,0.7159190477196157
pair,work_study_hours <= 1.45 AND daily_screen_time_hours > 5.32,work_study_hours,<=,1.45,daily_screen_time_hours,>,5.32,9914,0.06411267897098956,0.5159370587048618,0.5159370587048618,0.48406294129513816,0.5159370587048618,0.48406294129513816,1.5860800209889985,0.717439246108445
pair,work_study_hours <= 1.99 AND daily_screen_time_hours > 5.32,work_study_hours,<=,1.99,daily_screen_time_hours,>,5.32,18465,0.11941099628800911,0.514649336582724,0.514649336582724,0.48535066341727595,0.514649336582724,0.48535066341727595,1.5821213397970808,0.7193478044996986
pair,social_media_hours > 1.38 AND daily_screen_time_hours > 4.5,social_media_hours,>,1.38,daily_screen_time_hours,>,4.5,52220,0.3377006350479196,0.5144772117962466,0.5144772117962466,0.4855227882037534,0.5144772117962466,0.4855227882037534,1.5815921983439853,0.7196029140454047
pair,weekend_screen_time > 7.78 AND daily_screen_time_hours > 4.5,weekend_screen_time,>,7.78,daily_screen_time_hours,>,4.5,25146,0.16261624222357307,0.5003579098067287,0.5003579098067287,0.4996420901932713,0.5003579098067287,0.4996420901932713,1.5381870146727439,0.7405294103969629
pair,social_media_hours > 1.38 AND work_study_hours > 1.45,social_media_hours,>,1.38,work_study_hours,>,1.45,33510,0.21670525240244706,0.4908087138167711,0.4908087138167711,0.5091912861832288,0.4908087138167711,0.5091912861832288,1.5088311296463806,0.7546824623815802
pair,work_study_hours <= 0.95 AND daily_screen_time_hours > 4.5,work_study_hours,<=,0.95,daily_screen_time_hours,>,4.5,9917,0.06413207962026463,0.48966421296763135,0.48966421296763135,0.5103357870323686,0.48966421296763135,0.5103357870323686,1.505312735493066,0.756378749695334
univariate,weekend_screen_time > 8.08,weekend_screen_time,>,8.08,,,,28129,0.1819069544860768,0.4848732624693377,0.4848732624693377,0.5151267375306623,0.4848732624693377,0.5151267375306623,1.4905845225479328,0.7634795120557871
pair,work_study_hours <= 1.45 AND daily_screen_time_hours > 4.5,work_study_hours,<=,1.45,daily_screen_time_hours,>,4.5,23286,0.15058783967303438,0.4819204672335309,0.4819204672335309,0.5180795327664691,0.4819204672335309,0.5180795327664691,1.4815071177549117,0.7678559081959705
pair,weekend_screen_time > 7.78 AND daily_screen_time_hours > 3.67,weekend_screen_time,>,7.78,daily_screen_time_hours,>,3.67,31313,0.2024975102500097,0.4782039408552358,0.4782039408552358,0.5217960591447641,0.4782039408552358,0.5217960591447641,1.4700818709411054,0.7733642453470279
pair,social_media_hours > 0.9 AND work_study_hours <= 0.95,social_media_hours,>,0.9,work_study_hours,<=,0.95,27406,0.17723139801078677,0.476610961103408,0.476610961103408,0.523389038896592,0.476610961103408,0.523389038896592,1.4651847748407467,0.775725232100444
pair,social_media_hours > 1.38 AND weekend_screen_time <= 7.78,social_media_hours,>,1.38,weekend_screen_time,<=,7.78,48274,0.31218231436812083,0.4755976301943075,0.4755976301943075,0.5244023698056925,0.4755976301943075,0.5244023698056925,1.4620696198379068,0.7772271098553043
pair,social_media_hours > 0.9 AND work_study_hours <= 1.45,social_media_hours,>,0.9,work_study_hours,<=,1.45,55200,0.3569719466611483,0.4723369565217391,0.4723369565217391,0.5276630434782609,0.4723369565217391,0.5276630434782609,1.4520457433208607,0.7820598187075748
pair,social_media_hours > 1.38 AND weekend_screen_time <= 6.58,social_media_hours,>,1.38,weekend_screen_time,<=,6.58,30221,0.195435673913887,0.47079845140796134,0.47079845140796134,0.5292015485920387,0.47079845140796134,0.5292015485920387,1.4473161117078925,0.7843400675239983
pair,work_study_hours <= 1.99 AND daily_screen_time_hours > 4.5,work_study_hours,<=,1.99,daily_screen_time_hours,>,4.5,42686,0.2760453716517713,0.4692170735135642,0.4692170735135642,0.5307829264864359,0.4692170735135642,0.5307829264864359,1.4424546817299158,0.7866838589353659
pair,work_study_hours <= 0.95 AND daily_screen_time_hours > 3.67,work_study_hours,<=,0.95,daily_screen_time_hours,>,3.67,17986,0.11631335928709081,0.46563994217724897,0.46563994217724897,0.534360057822751,0.46563994217724897,0.534360057822751,1.4314579594568044,0.7919855959414881
pair,weekend_screen_time > 6.58 AND work_study_hours <= 0.95,weekend_screen_time,>,6.58,work_study_hours,<=,0.95,13372,0.08647516070204483,0.4608136404427161,0.4608136404427161,0.5391863595572839,0.4608136404427161,0.5391863595572839,1.4166210706788924,0.7991387530674
pair,social_media_hours > 0.9 AND weekend_screen_time > 6.58,social_media_hours,>,0.9,weekend_screen_time,>,6.58,55841,0.3611172187229199,0.4602174029834709,0.4602174029834709,0.5397825970165291,0.4602174029834709,0.5397825970165291,1.4147881332964762,0.8000224483821414
pair,social_media_hours > 0.9 AND work_study_hours <= 1.99,social_media_hours,>,0.9,work_study_hours,<=,1.99,82793,0.5354126518100806,0.4567415119635718,0.4567415119635718,0.5432584880364282,0.4567415119635718,0.5432584880364282,1.4041026413187605,0.8051741351156877
pair,social_media_hours > 1.38 AND weekend_screen_time <= 5.41,social_media_hours,>,1.38,weekend_screen_time,<=,5.41,14734,0.09528305547292316,0.45554499796389303,0.45554499796389303,0.544455002036107,0.45554499796389303,0.544455002036107,1.4004243497176725,0.8069475121471765
pair,weekend_screen_time > 6.58 AND daily_screen_time_hours > 5.32,weekend_screen_time,>,6.58,daily_screen_time_hours,>,5.32,24552,0.15877491366711072,0.45169436298468557,0.45169436298468557,0.5483056370153144,0.45169436298468557,0.5483056370153144,1.388586829800081,0.8126546143044495
pair,work_study_hours <= 1.45 AND daily_screen_time_hours > 3.67,work_study_hours,<=,1.45,daily_screen_time_hours,>,3.67,42029,0.2717966294605326,0.4506412239168193,0.4506412239168193,0.5493587760831806,0.4506412239168193,0.5493587760831806,1.3853492976114479,0.8142154925176747
pair,weekend_screen_time > 6.58 AND work_study_hours <= 1.45,weekend_screen_time,>,6.58,work_study_hours,<=,1.45,28434,0.18387935382904147,0.4504466483787016,0.4504466483787016,0.5495533516212985,0.4504466483787016,0.5495533516212985,1.384751138653151,0.8145038767658159
pair,weekend_screen_time > 7.78 AND work_study_hours > 0.95,weekend_screen_time,>,7.78,work_study_hours,>,0.95,26465,0.17114606102150887,0.4445871906291328,0.4445871906291328,0.5554128093708672,0.4445871906291328,0.5554128093708672,1.36673814905758,0.8231882948276642
pair,social_media_hours > 0.9 AND daily_screen_time_hours > 5.32,social_media_hours,>,0.9,daily_screen_time_hours,>,5.32,33623,0.21743601019180775,0.4445468875472147,0.4445468875472147,0.5554531124527853,0.4445468875472147,0.5554531124527853,1.3666142503921592,0.8232480288214084
univariate,weekend_screen_time > 7.58,weekend_screen_time,>,7.58,,,,42142,0.2725273872498933,0.43761568031892173,0.43761568031892173,0.5623843196810783,0.43761568031892173,0.5623843196810783,1.3453065169765244,0.8335209079539921
pair,weekend_screen_time > 6.58 AND work_study_hours <= 1.99,weekend_screen_time,>,6.58,work_study_hours,<=,1.99,45597,0.2948704683316735,0.4364980152202996,0.4364980152202996,0.5635019847797005,0.4364980152202996,0.5635019847797005,1.3418706205756508,0.8351774214718661
pair,social_media_hours > 0.9 AND weekend_screen_time > 5.41,social_media_hours,>,0.9,weekend_screen_time,>,5.41,80747,0.5221814090044881,0.43254857765613586,0.43254857765613586,0.5674514223438641,0.43254857765613586,0.5674514223438641,1.3297293643720585,0.8410309608917705
pair,social_media_hours > 0.9 AND daily_screen_time_hours <= 3.67,social_media_hours,>,0.9,daily_screen_time_hours,<=,3.67,19043,0.12314885471500446,0.42561571181011393,0.42561571181011393,0.5743842881898861,0.42561571181011393,0.5743842881898861,1.308416532077795,0.8513062982944499
pair,weekend_screen_time > 5.41 AND daily_screen_time_hours > 5.32,weekend_screen_time,>,5.41,daily_screen_time_hours,>,5.32,29931,0.19356027781729762,0.4242090140656844,0.4242090140656844,0.5757909859343155,0.4242090140656844,0.5757909859343155,1.3040920991835758,0.8533911928054111
pair,social_media_hours > 0.9 AND daily_screen_time_hours > 4.5,social_media_hours,>,0.9,daily_screen_time_hours,>,4.5,66697,0.4313217015662791,0.42381216546471356,0.42381216546471356,0.5761878345352864,0.42381216546471356,0.5761878345352864,1.302872117740612,0.8539793699551387
pair,weekend_screen_time > 6.58 AND daily_screen_time_hours > 4.5,weekend_screen_time,>,6.58,daily_screen_time_hours,>,4.5,45427,0.29377109820608666,0.4224359962137055,0.4224359962137055,0.5775640037862946,0.4224359962137055,0.5775640037862946,1.2986415347311213,0.8560190175830262
pair,weekend_screen_time > 5.41 AND work_study_hours <= 0.95,weekend_screen_time,>,5.41,work_study_hours,<=,0.95,22855,0.1478006130605171,0.42056442791511706,0.42056442791511706,0.5794355720848829,0.42056442791511706,0.5794355720848829,1.292888009109684,0.8587929059240489
pair,work_study_hours <= 1.99 AND daily_screen_time_hours > 3.67,work_study_hours,<=,1.99,daily_screen_time_hours,>,3.67,72587,0.46941164297631827,0.4204058577982283,0.4204058577982283,0.5795941422017716,0.4204058577982283,0.5795941422017716,1.2924005370623097,0.8590279258262368
pair,weekend_screen_time > 7.78 AND daily_screen_time_hours <= 5.32,weekend_screen_time,>,7.78,daily_screen_time_hours,<=,5.32,20216,0.13073450858155386,0.4174910961614563,0.4174910961614563,0.5825089038385437,0.4174910961614563,0.5825089038385437,1.283440054150626,0.8633479516180822
univariate,work_study_hours <= 0.59,work_study_hours,<=,0.59,,,,14661,0.09481097300722997,0.41525134711138395,0.41525134711138395,0.5847486528886161,0.41525134711138395,0.5847486528886161,1.2765546770287222,0.8666675279228842
pair,social_media_hours > 0.9 AND daily_screen_time_hours > 3.67,social_media_hours,>,0.9,daily_screen_time_hours,>,3.67,96374,0.6232393910782881,0.4118330670097744,0.4118330670097744,0.5881669329902256,0.4118330670097744,0.5881669329902256,1.2660462910079215,0.8717338283765496
pair,weekend_screen_time > 5.41 AND work_study_hours <= 1.45,weekend_screen_time,>,5.41,work_study_hours,<=,1.45,46548,0.3010204741518683,0.41041505542665635,0.41041505542665635,0.5895849445733437,0.41041505542665635,0.5895849445733437,1.2616870774108981,0.8738354913512928
pair,weekend_screen_time > 7.78 AND work_study_hours > 1.45,weekend_screen_time,>,7.78,work_study_hours,>,1.45,19349,0.12512772094106084,0.41025375988423174,0.41025375988423174,0.5897462401157683,0.41025375988423174,0.5897462401157683,1.2611912269326315,0.8740745506604978
univariate,weekend_screen_time > 7.03,weekend_screen_time,>,7.03,,,,56116,0.362895611573134,0.40184617577874404,0.40184617577874404,0.598153824221256,0.40184617577874404,0.598153824221256,1.2353448548810224,0.8865355971229592
pair,social_media_hours > 0.9 AND daily_screen_time_hours <= 5.32,social_media_hours,>,0.9,daily_screen_time_hours,<=,5.32,81794,0.5289522356014847,0.40159424896691687,0.40159424896691687,0.5984057510330831,0.40159424896691687,0.5984057510330831,1.2345703881582917,0.8869089828266203
pair,weekend_screen_time > 6.58 AND daily_screen_time_hours > 3.67,weekend_screen_time,>,6.58,daily_screen_time_hours,>,3.67,59378,0.3839905842182185,0.4009734245006568,0.4009734245006568,0.5990265754993431,0.4009734245006568,0.5990265754993431,1.232661866051064,0.8878291190300809
pair,social_media_hours > 0.9 AND daily_screen_time_hours <= 4.5,social_media_hours,>,0.9,daily_screen_time_hours,<=,4.5,48720,0.31506654422701347,0.4008210180623974,0.4008210180623974,0.5991789819376026,0.4008210180623974,0.5991789819376026,1.2321933422210445,0.8880550036224324
pair,social_media_hours > 1.38 AND work_study_hours > 1.99,social_media_hours,>,1.38,work_study_hours,>,1.99,14694,0.09502438014925566,0.3994147270994964,0.3994147270994964,0.6005852729005037,0.3994147270994964,0.6005852729005037,1.2278701598438109,0.8901392952344559
pair,weekend_screen_time > 5.41 AND daily_screen_time_hours > 4.5,weekend_screen_time,>,5.41,daily_screen_time_hours,>,4.5,57976,0.37492401412367266,0.3963536635849317,0.3963536635849317,0.6036463364150684,0.3963536635849317,0.6036463364150684,1.2184599195799752,0.8946761579290128
univariate,work_study_hours <= 0.84,work_study_hours,<=,0.84,,,,29349,0.1897965518579355,0.3957204674775972,0.3957204674775972,0.6042795325224029,0.3957204674775972,0.6042795325224029,1.216513364901906,0.8956146303860643
pair,weekend_screen_time > 5.41 AND work_study_hours <= 1.99,weekend_screen_time,>,5.41,work_study_hours,<=,1.99,71623,0.46317756767593155,0.3948312692850062,0.3948312692850062,0.6051687307149938,0.3948312692850062,0.6051687307149938,1.2137798154036232,0.896932528590018
pair,social_media_hours > 0.9 AND work_study_hours > 0.95,social_media_hours,>,0.9,work_study_hours,>,0.95,80162,0.5183982823958508,0.39302911604001894,0.39302911604001894,0.606970883959981,0.39302911604001894,0.606970883959981,1.2082396836987792,0.8996035355090691
pair,work_study_hours > 0.95 AND daily_screen_time_hours > 5.32,work_study_hours,>,0.95,daily_screen_time_hours,>,5.32,31197,0.20174735181137396,0.3897169599640991,0.3897169599640991,0.610283040035901,0.3897169599640991,0.610283040035901,1.198057541342886,0.9045125474481852
univariate,work_study_hours <= 1.05,work_study_hours,<=,1.05,,,,43514,0.2813999508516885,0.3895068253895298,0.3895068253895298,0.6104931746104703,0.3895068253895298,0.6104931746104703,1.1974115512074224,0.9048239920515605
univariate,work_study_hours <= 1.25,work_study_hours,<=,1.25,,,,57727,0.3733137602338425,0.386023870978918,0.386023870978918,0.613976129021082,0.386023870978918,0.613976129021082,1.1867043451413293,0.9099861475759923
univariate,gaming_hours <= 0.22,gaming_hours,<=,0.22,,,,14414,0.09321365288358317,0.3833078951019842,0.3833078951019842,0.6166921048980158,0.3833078951019842,0.6166921048980158,1.1783549641398825,0.9140115490669278
univariate,work_study_hours <= 1.45,work_study_hours,<=,1.45,,,,72542,0.46912063323719233,0.3817236911030851,0.3817236911030851,0.6182763088969149,0.3817236911030851,0.6182763088969149,1.1734848462264065,0.9163595291035965
univariate,weekend_screen_time > 6.58,weekend_screen_time,>,6.58,,,,70173,0.4538005871929847,0.38152850811565703,0.38152850811565703,0.618471491884343,0.38152850811565703,0.618471491884343,1.1728848198635518,0.9166488136643584
univariate,work_study_hours <= 1.65,work_study_hours,<=,1.65,,,,86544,0.5596699302870003,0.37696431872804587,0.37696431872804587,0.6230356812719542,0.37696431872804587,0.6230356812719542,1.1588537099101937,0.9234134889038691
univariate,gaming_hours <= 0.4,gaming_hours,<=,0.4,,,,28028,0.18125379929381635,0.37683744826601967,0.37683744826601967,0.6231625517339803,0.37683744826601967,0.6231625517339803,1.1584636881009858,0.9236015261214794
univariate,gaming_hours <= 0.57,gaming_hours,<=,0.57,,,,41845,0.2706067229716621,0.3735691241486438,0.3735691241486438,0.6264308758513562,0.3735691241486438,0.6264308758513562,1.1484162927894355,0.9284455738491044
pair,weekend_screen_time > 5.41 AND daily_screen_time_hours > 3.67,weekend_screen_time,>,5.41,daily_screen_time_hours,>,3.67,83260,0.5384326862138986,0.3718712466970934,0.3718712466970934,0.6281287533029065,0.3718712466970934,0.6281287533029065,1.14319672296293,0.9309620315551326
univariate,app_opens_per_day > 164,app_opens_per_day,>,164.0,,,,13750,0.0889196425107027,0.37127272727272725,0.37127272727272725,0.6287272727272728,0.37127272727272725,0.6287272727272728,1.1413567704238665,0.9318491090154516
univariate,work_study_hours <= 1.87,work_study_hours,<=,1.87,,,,101129,0.653989420179262,0.3699927814969,0.3699927814969,0.6300072185031,0.3699927814969,0.6300072185031,1.1374219950695144,0.9337461419302462
univariate,gaming_hours <= 0.73,gaming_hours,<=,0.73,,,,55819,0.3609749472949028,0.36976656693957255,0.36976656693957255,0.6302334330604275,0.36976656693957255,0.6302334330604275,1.1367265722775663,0.9340814189936659
univariate,gaming_hours <= 0.89,gaming_hours,<=,0.89,,,,70178,0.4538329216084432,0.3689760323748183,0.3689760323748183,0.6310239676251816,0.3689760323748183,0.6310239676251816,1.1342963318869934,0.9352530858860796
univariate,weekend_screen_time > 6.07,weekend_screen_time,>,6.07,,,,84190,0.5444468874891679,0.36866611236488894,0.36866611236488894,0.6313338876351111,0.36866611236488894,0.6313338876351111,1.1333435840128872,0.9357124244540824
univariate,gaming_hours <= 1.04,gaming_hours,<=,1.04,,,,83381,0.5392151790679928,0.3680694642664396,0.3680694642664396,0.6319305357335604,0.3680694642664396,0.6319305357335604,1.1315093842543216,0.9365967283852988
pair,social_media_hours > 0.9 AND weekend_screen_time <= 7.78,social_media_hours,>,0.9,weekend_screen_time,<=,7.78,75997,0.49146371431897257,0.36754082397989396,0.36754082397989396,0.632459176020106,0.36754082397989396,0.632459176020106,1.129884252307249,0.9373802365952583
pair,weekend_screen_time > 7.78 AND daily_screen_time_hours <= 4.5,weekend_screen_time,>,7.78,daily_screen_time_hours,<=,4.5,9741,0.06299390819612763,0.36669746432604455,0.36669746432604455,0.6333025356739554,0.36669746432604455,0.6333025356739554,1.1272916184289294,0.9386301965955779
univariate,notifications_per_day <= 49,notifications_per_day,<=,49.0,,,,14348,0.0927868385995318,0.36423194870365205,0.36423194870365205,0.635768051296348,0.36423194870365205,0.635768051296348,1.1197121956987046,0.942284385996372
univariate,gaming_hours <= 1.21,gaming_hours,<=,1.21,,,,97509,0.6305793033873534,0.3632587761129742,0.3632587761129742,0.6367412238870258,0.3632587761129742,0.6367412238870258,1.1167204943331872,0.9437267443143239
univariate,work_study_hours <= 2.13,work_study_hours,<=,2.13,,,,115370,0.7460843022879833,0.36183583253878826,0.36183583253878826,0.6381641674612117,0.36183583253878826,0.6381641674612117,1.1123461189400408,0.9458357170904413
pair,weekend_screen_time > 6.58 AND work_study_hours > 0.95,weekend_screen_time,>,6.58,work_study_hours,>,0.95,52122,0.3370668805049342,0.36170906718851925,0.36170906718851925,0.6382909328114807,0.36170906718851925,0.6382909328114807,1.1119564202626089,0.9460235985198405
pair,work_study_hours > 1.45 AND daily_screen_time_hours > 5.32,work_study_hours,>,1.45,daily_screen_time_hours,>,5.32,25450,0.16458217468344608,0.3616895874263261,0.3616895874263261,0.6383104125736738,0.3616895874263261,0.6383104125736738,1.1118965360943622,0.9460524698601351
pair,social_media_hours > 0.9 AND weekend_screen_time <= 6.58,social_media_hours,>,0.9,weekend_screen_time,<=,6.58,49260,0.3185586610965247,0.3610840438489647,0.3610840438489647,0.6389159561510354,0.3610840438489647,0.6389159561510354,1.1100349900904716,0.9469499579563437
univariate,app_opens_per_day > 148,app_opens_per_day,>,148.0,,,,27515,0.17793628826778068,0.3599127748500818,0.3599127748500818,0.6400872251499182,0.3599127748500818,0.6400872251499182,1.1064343060012236,0.9486859188735344
univariate,gaming_hours <= 1.41,gaming_hours,<=,1.41,,,,111186,0.7190268634323629,0.3569604086845466,0.3569604086845466,0.6430395913154534,0.3569604086845466,0.6430395913154534,1.0973582202446508,0.9530616790801935
univariate,weekend_screen_time > 5.68,weekend_screen_time,>,5.68,,,,97903,0.6331272553254782,0.3564752867634291,0.3564752867634291,0.6435247132365709,0.3564752867634291,0.6435247132365709,1.0958668713022823,0.9537806878612127
pair,work_study_hours > 0.95 AND daily_screen_time_hours > 4.5,work_study_hours,>,0.95,daily_screen_time_hours,>,4.5,62026,0.40111489064500694,0.3562860735820462,0.3562860735820462,0.6437139264179538,0.3562860735820462,0.6437139264179538,1.0952851971588267,0.9540611244545242
pair,social_media_hours > 0.9 AND work_study_hours > 1.45,social_media_hours,>,0.9,work_study_hours,>,1.45,52368,0.33865773374548935,0.3531736938588451,0.3531736938588451,0.6468263061411549,0.3531736938588451,0.6468263061411549,1.0857172019675287,0.9586740439154567
